State,Crop_District_Original,Auto_Suggestion,CORRECT_NAME_FROM_DB
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,NICOBAR,NICOBAR
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,NORTH & MIDDLE ANDAMAN,NORTH & MIDDLE ANDAMAN
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SOUTH ANDAMAN,SOUTH ANDAMAN
ANDHRA PRADESH,ANANTAPUR,ANATAPUR,ANATAPUR
ANDHRA PRADESH,KADAPA,KADDAPA,KADDAPA
ANDHRA PRADESH,SPSR NELLORE,NELLORE,NELLORE
ANDHRA PRADESH,VISAKHAPATANAM,VISAKHAPATNAM,VISAKHAPATNAM
ANDHRA PRADESH,VIZIANAGARAM,ANATAPUR,ANATAPUR
ARUNACHAL PRADESH,ANJAW,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,CHANGLANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,DIBANG VALLEY,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,EAST KAMENG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,KAMLE,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,KRA DAADI,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,KURUNG KUMEY,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,LEPARADA,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,LOHIT,TIRAP,TIRAP
ARUNACHAL PRADESH,LONGDING,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,LOWER SIANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,LOWER SUBANSIRI,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,NAMSAI,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,PAKKE KESSANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,SHI YOMI,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,SIANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,TAWANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,UPPER SIANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,UPPER SUBANSIRI,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,WEST KAMENG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,WEST SIANG,EAST SIANG,EAST SIANG
ASSAM,BAKSA,DIMA HASAO,DIMA HASAO
ASSAM,BARPETA,KAMRUP (METRO),KAMRUP (METRO)
ASSAM,BISWANATH,SONITPUR,SONITPUR
ASSAM,BONGAIGAON,NOWGAON,NOWGAON
ASSAM,CHARAIDEO,CACHAR,CACHAR
ASSAM,CHIRANG,DARRANG,DARRANG
ASSAM,DHEMAJI,DHUBRI,DHUBRI
ASSAM,HAILAKANDI,GOALPARA,GOALPARA
ASSAM,HOJAI,JORHAT,JORHAT
ASSAM,KAMRUP,KAMRUP (RURAL),KAMRUP (RURAL)
ASSAM,KAMRUP METRO,KAMRUP (METRO),KAMRUP (METRO)
ASSAM,KARBI ANGLONG,DARRANG,DARRANG
ASSAM,KARIMGANJ,DARRANG,DARRANG
ASSAM,KOKRAJHAR,CACHAR,CACHAR
ASSAM,MAJULI,UDALGURI,UDALGURI
ASSAM,MARIGAON,NOWGAON,NOWGAON
ASSAM,NAGAON,NOWGAON,NOWGAON
ASSAM,NALBARI,UDALGURI,UDALGURI
ASSAM,SIVASAGAR,DIBRUGARH,DIBRUGARH
ASSAM,SOUTH SALMARA MANCACHAR,CACHAR,CACHAR
ASSAM,TINSUKIA,DIBRUGARH,DIBRUGARH
ASSAM,WEST KARBI ANGLONG,DARRANG,DARRANG
BIHAR,ARWAL,SARAN,SARAN
BIHAR,AURANGABAD,DARBHANGA,DARBHANGA
BIHAR,BANKA,PATNA,PATNA
BIHAR,BEGUSARAI,SARAN,SARAN
BIHAR,BHOJPUR,BHAGALPUR,BHAGALPUR
BIHAR,BUXAR,BHAGALPUR,BHAGALPUR
BIHAR,GOPALGANJ,SARAN,SARAN
BIHAR,JAMUI,ARARIA,ARARIA
BIHAR,JEHANABAD,DARBHANGA,DARBHANGA
BIHAR,KAIMUR (BHABUA),DARBHANGA,DARBHANGA
BIHAR,KATIHAR,PATNA,PATNA
BIHAR,KHAGARIA,ARARIA,ARARIA
BIHAR,KISHANGANJ,DARBHANGA,DARBHANGA
BIHAR,LAKHISARAI,SARAN,SARAN
BIHAR,MADHEPURA,PURNEA,PURNEA
BIHAR,MADHUBANI,DARBHANGA,DARBHANGA
BIHAR,MUNGER,MUZAFFARPUR,MUZAFFARPUR
BIHAR,NALANDA,SARAN,SARAN
BIHAR,NAWADA,ARARIA,ARARIA
BIHAR,PASHCHIM CHAMPARAN,SARAN,SARAN
BIHAR,PURBI CHAMPARAN,SARAN,SARAN
BIHAR,PURNIA,PURNEA,PURNEA
BIHAR,SAHARSA,SARAN,SARAN
BIHAR,SAMASTIPUR,BHAGALPUR,BHAGALPUR
BIHAR,SHEIKHPURA,PURNEA,PURNEA
BIHAR,SHEOHAR,SARAN,SARAN
BIHAR,SITAMARHI,SARAN,SARAN
BIHAR,SIWAN,SARAN,SARAN
BIHAR,VAISHALI,SUPAUL,SUPAUL
CHANDIGARH,CHANDIGARH,,
CHHATTISGARH,BALOD,BASTAR,BASTAR
CHHATTISGARH,BALODA BAZAR,BASTAR,BASTAR
CHHATTISGARH,BALRAMPUR,BILASPUR,BILASPUR
CHHATTISGARH,BEMETARA,BASTAR,BASTAR
CHHATTISGARH,BIJAPUR,BILASPUR,BILASPUR
CHHATTISGARH,DANTEWADA,BASTAR,BASTAR
CHHATTISGARH,DHAMTARI,BASTAR,BASTAR
CHHATTISGARH,GARIYABAND,SARGUJA,SARGUJA
CHHATTISGARH,GAURELLA-PENDRA-MARWAHI,BILASPUR,BILASPUR
CHHATTISGARH,JANJGIR-CHAMPA,JANJGIR,JANJGIR
CHHATTISGARH,JASHPUR,BILASPUR,BILASPUR
CHHATTISGARH,KABIRDHAM,SARGUJA,SARGUJA
CHHATTISGARH,KANKER,JANJGIR,JANJGIR
CHHATTISGARH,KONDAGAON,SARGUJA,SARGUJA
CHHATTISGARH,KORBA,RAIPUR,RAIPUR
CHHATTISGARH,KOREA,RAIPUR,RAIPUR
CHHATTISGARH,MAHASAMUND,BASTAR,BASTAR
CHHATTISGARH,MUNGELI,JANJGIR,JANJGIR
CHHATTISGARH,NARAYANPUR,RAIPUR,RAIPUR
CHHATTISGARH,RAIGARH,RAIPUR,RAIPUR
CHHATTISGARH,RAJNANDGAON,JANJGIR,JANJGIR
CHHATTISGARH,SUKMA,SARGUJA,SARGUJA
CHHATTISGARH,SURAJPUR,RAIPUR,RAIPUR
CHHATTISGARH,SURGUJA,SARGUJA,SARGUJA
DELHI,DELHI_TOTAL,SOUTH DELHI,SOUTH DELHI
GOA,NORTH GOA,SOUTH GOA,SOUTH GOA
GUJARAT,AHMADABAD,AHMEDABAD,AHMEDABAD
GUJARAT,ANAND,JUNAGAD,JUNAGAD
GUJARAT,ARAVALLI,AMRELI,AMRELI
GUJARAT,BANAS KANTHA,BANASKANTHA,BANASKANTHA
GUJARAT,BHARUCH,KUTCH,KUTCH
GUJARAT,BOTAD,AHMEDABAD,AHMEDABAD
GUJARAT,CHHOTAUDEPUR,VADODRA,VADODRA
GUJARAT,DANG,JAMNAGAR,JAMNAGAR
GUJARAT,DEVBHUMI DWARKA,SABARKANTHA,SABARKANTHA
GUJARAT,DOHAD,AHMEDABAD,AHMEDABAD
GUJARAT,GIR SOMNATH,SURAT,SURAT
GUJARAT,KACHCHH,KUTCH,KUTCH
GUJARAT,KHEDA,KAIRA KHEDA,KAIRA KHEDA
GUJARAT,MAHESANA,AHMEDABAD,AHMEDABAD
GUJARAT,MAHISAGAR,GANDHINAGAR,GANDHINAGAR
GUJARAT,MORBI,AMRELI,AMRELI
GUJARAT,NARMADA,JUNAGAD,JUNAGAD
GUJARAT,NAVSARI,VALSAR,VALSAR
GUJARAT,PANCH MAHALS,GANDHINAGAR,GANDHINAGAR
GUJARAT,PATAN,SURAT,SURAT
GUJARAT,PORBANDAR,BHAVNAGAR,BHAVNAGAR
GUJARAT,SABAR KANTHA,SABARKANTHA,SABARKANTHA
GUJARAT,TAPI,AMRELI,AMRELI
GUJARAT,VADODARA,VADODRA,VADODRA
GUJARAT,VALSAD,VALSAR,VALSAR
HARYANA,CHARKI DADRI,CHANDIGARH,CHANDIGARH
HARYANA,FARIDABAD,KARNAL,KARNAL
HARYANA,FATEHABAD,AMBALA,AMBALA
HARYANA,GURGAON,ROHTAK,ROHTAK
HARYANA,HISAR,HISSAR,HISSAR
HARYANA,JHAJJAR,CHANDIGARH,CHANDIGARH
HARYANA,JIND,BHIWANI,BHIWANI
HARYANA,KAITHAL,KARNAL,KARNAL
HARYANA,KURUKSHETRA,ROHTAK,ROHTAK
HARYANA,MAHENDRAGARH,CHANDIGARH,CHANDIGARH
HARYANA,MEWAT,BHIWANI,BHIWANI
HARYANA,PALWAL,AMBALA,AMBALA
HARYANA,PANCHKULA,AMBALA,AMBALA
HARYANA,PANIPAT,CHANDIGARH,CHANDIGARH
HARYANA,REWARI,BHIWANI,BHIWANI
HARYANA,SIRSA,HISSAR,HISSAR
HARYANA,SONIPAT,ROHTAK,ROHTAK
HARYANA,YAMUNANAGAR,CHANDIGARH,CHANDIGARH
HIMACHAL PRADESH,BILASPUR,KINNAUR,KINNAUR
HIMACHAL PRADESH,HAMIRPUR,KINNAUR,KINNAUR
HIMACHAL PRADESH,SIRMAUR,SHIMLA,SHIMLA
JAMMU AND KASHMIR,KISHTWAR,KUPWARA,KUPWARA
JAMMU AND KASHMIR,SAMBA,RAMBAN,RAMBAN
JHARKHAND,CHATRA,RANCHI,RANCHI
JHARKHAND,EAST SINGHBUM,EAST SINGHBHUM,EAST SINGHBHUM
JHARKHAND,GARHWA,RANCHI,RANCHI
JHARKHAND,GODDA,RANCHI,RANCHI
JHARKHAND,GUMLA,PALAMAU,PALAMAU
JHARKHAND,HAZARIBAGH,RANCHI,RANCHI
JHARKHAND,KODERMA,RANCHI,RANCHI
JHARKHAND,LATEHAR,PALAMAU,PALAMAU
JHARKHAND,LOHARDAGA,PALAMAU,PALAMAU
JHARKHAND,PALAMU,PALAMAU,PALAMAU
JHARKHAND,SAHEBGANJ,RANCHI,RANCHI
JHARKHAND,SARAIKELA KHARSAWAN,PALAMAU,PALAMAU
KARNATAKA,BANGALORE RURAL,BENGALURU,BENGALURU
KARNATAKA,CHAMARAJANAGAR,CHAMARAJNAGAR,CHAMARAJNAGAR
KARNATAKA,CHIKBALLAPUR,CHIKMAGALUR,CHIKMAGALUR
KARNATAKA,DAKSHIN KANNAD,DAKSHIN KANNADA,DAKSHIN KANNADA
KARNATAKA,DAVANGERE,DAVANAGERE,DAVANAGERE
KARNATAKA,RAMANAGARA,CHAMARAJNAGAR,CHAMARAJNAGAR
KARNATAKA,UDUPI,TUMKUR,TUMKUR
KARNATAKA,UTTAR KANNAD,UTTAR KANNADA,UTTAR KANNADA
KARNATAKA,YADGIR,GADAG,GADAG
KERALA,IDUKKI,THRISSUR,THRISSUR
KERALA,KASARAGOD,MALAPPURAM,MALAPPURAM
KERALA,PATHANAMTHITTA,THIRUVANATHA PURAM,THIRUVANATHA PURAM
KERALA,THIRUVANANTHAPURAM,THIRUVANATHA PURAM,THIRUVANATHA PURAM
KERALA,WAYANAD,PALAKKAD,PALAKKAD
MADHYA PRADESH,AGAR MALWA,SAGAR,SAGAR
MADHYA PRADESH,ANUPPUR,SHAJAPUR,SHAJAPUR
MADHYA PRADESH,ASHOKNAGAR,SAGAR,SAGAR
MADHYA PRADESH,BARWANI,REWA,REWA
MADHYA PRADESH,BHIND,INDORE,INDORE
MADHYA PRADESH,BURHANPUR,SHAJAPUR,SHAJAPUR
MADHYA PRADESH,DEWAS,REWA,REWA
MADHYA PRADESH,DINDORI,INDORE,INDORE
MADHYA PRADESH,HARDA,DHAR,DHAR
MADHYA PRADESH,JABALPUR,JABALPUR(A),JABALPUR(A)
MADHYA PRADESH,JHABUA,JABALPUR(A),JABALPUR(A)
MADHYA PRADESH,KATNI,SATNA,SATNA
MADHYA PRADESH,KHANDWA,MANDLA,MANDLA
MADHYA PRADESH,KHARGONE,DHAR,DHAR
MADHYA PRADESH,MANDSAUR,MANDLA,MANDLA
MADHYA PRADESH,MORENA,REWA,REWA
MADHYA PRADESH,NEEMUCH,DAMOH,DAMOH
MADHYA PRADESH,NIWARI,WEST NIMAR,WEST NIMAR
MADHYA PRADESH,PANNA,SATNA,SATNA
MADHYA PRADESH,RATLAM,SATNA,SATNA
MADHYA PRADESH,SEHORE,SEONI,SEONI
MADHYA PRADESH,SHAHDOL,MANDLA,MANDLA
MADHYA PRADESH,SINGRAULI,NARSINGHPUR,NARSINGHPUR
MADHYA PRADESH,VIDISHA,DHAR,DHAR
MAHARASHTRA,AHILYANAGAR,AHMEDNAGAR,AHMEDNAGAR
MAHARASHTRA,BEED,NADED,NADED
MAHARASHTRA,BHANDARA,CHANDRAPUR,CHANDRAPUR
MAHARASHTRA,BULDHANA,BULDANA,BULDANA
MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR,RATNAGIRI,RATNAGIRI
MAHARASHTRA,DHARASHIV,WASHIM,WASHIM
MAHARASHTRA,DHULE,PUNE,PUNE
MAHARASHTRA,GADCHIROLI,RATNAGIRI,RATNAGIRI
MAHARASHTRA,HINGOLI,SANGLI,SANGLI
MAHARASHTRA,JALNA,JALGAON,JALGAON
MAHARASHTRA,NANDED,NADED,NADED
MAHARASHTRA,NANDURBAR,NAGPUR,NAGPUR
MANIPUR,BISHNUPUR,IMPHAL EAST,IMPHAL EAST
MANIPUR,CHANDEL,IMPHAL EAST,IMPHAL EAST
MANIPUR,CHURACHANDPUR,IMPHAL EAST,IMPHAL EAST
MANIPUR,IMPHAL WEST,IMPHAL EAST,IMPHAL EAST
MANIPUR,SENAPATI,IMPHAL EAST,IMPHAL EAST
MANIPUR,TAMENGLONG,IMPHAL EAST,IMPHAL EAST
MANIPUR,THOUBAL,IMPHAL EAST,IMPHAL EAST
MANIPUR,UKHRUL,IMPHAL EAST,IMPHAL EAST
MEGHALAYA,EAST GARO HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MEGHALAYA,EAST JAINTIA HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MEGHALAYA,NORTH GARO HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MEGHALAYA,SOUTH GARO HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MEGHALAYA,SOUTH WEST GARO HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MEGHALAYA,SOUTH WEST KHASI HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MEGHALAYA,WEST GARO HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MEGHALAYA,WEST JAINTIA HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MEGHALAYA,WEST KHASI HILLS,EAST KHASI HILLS,EAST KHASI HILLS
MIZORAM,AIZAWL,AIZWAL,AIZWAL
MIZORAM,CHAMPHAI,AIZWAL,AIZWAL
MIZORAM,HNAHTHIAL,AIZWAL,AIZWAL
MIZORAM,KHAWZAWL,AIZWAL,AIZWAL
MIZORAM,KOLASIB,AIZWAL,AIZWAL
MIZORAM,LAWNGTLAI,AIZWAL,AIZWAL
MIZORAM,LUNGLEI,AIZWAL,AIZWAL
MIZORAM,MAMIT,AIZWAL,AIZWAL
MIZORAM,SAIHA,AIZWAL,AIZWAL
MIZORAM,SAITUAL,AIZWAL,AIZWAL
MIZORAM,SERCHHIP,AIZWAL,AIZWAL
PUDUCHERRY,KARAIKAL,PUDUCHERRY,PUDUCHERRY
PUDUCHERRY,MAHE,PUDUCHERRY,PUDUCHERRY
PUDUCHERRY,PONDICHERRY,PUDUCHERRY,PUDUCHERRY
PUDUCHERRY,YANAM,PUDUCHERRY,PUDUCHERRY
PUNJAB,BARNALA,PATIALA,PATIALA
PUNJAB,BATHINDA,PATIALA,PATIALA
PUNJAB,FATEHGARH SAHIB,AMRITSAR,AMRITSAR
PUNJAB,FAZILKA,PATIALA,PATIALA
PUNJAB,FIROZEPUR,HOSHIARPUR,HOSHIARPUR
PUNJAB,GURDASPUR,HOSHIARPUR,HOSHIARPUR
PUNJAB,JALANDHAR,LUDHIANA,LUDHIANA
PUNJAB,KAPURTHALA,PATIALA,PATIALA
PUNJAB,MANSA,LUDHIANA,LUDHIANA
PUNJAB,MUKTSAR,AMRITSAR,AMRITSAR
PUNJAB,NAWANSHAHR,HOSHIARPUR,HOSHIARPUR
PUNJAB,PATHANKOT,PATIALA,PATIALA
PUNJAB,RUPNAGAR,PATIALA,PATIALA
PUNJAB,S.A.S NAGAR,AMRITSAR,AMRITSAR
PUNJAB,SANGRUR,HOSHIARPUR,HOSHIARPUR
PUNJAB,TARN TARAN,PATIALA,PATIALA
RAJASTHAN,ALWAR,JHALAWAR,JHALAWAR
RAJASTHAN,BARAN,BANSWARA,BANSWARA
RAJASTHAN,BHARATPUR,JAIPUR,JAIPUR
RAJASTHAN,BHILWARA,JHALAWAR,JHALAWAR
RAJASTHAN,DAUSA,UDAIPUR,UDAIPUR
RAJASTHAN,DUNGARPUR,UDAIPUR,UDAIPUR
RAJASTHAN,GANGANAGAR,SRIGANGANAGAR,SRIGANGANAGAR
RAJASTHAN,HANUMANGARH,JHALAWAR,JHALAWAR
RAJASTHAN,JHUNJHUNU,CHURU,CHURU
RAJASTHAN,KARAULI,PALI,PALI
RAJASTHAN,NAGAUR,SRIGANGANAGAR,SRIGANGANAGAR
RAJASTHAN,PRATAPGARH,SRIGANGANAGAR,SRIGANGANAGAR
RAJASTHAN,RAJSAMAND,JAISALMER,JAISALMER
RAJASTHAN,SIKAR,BIKANER,BIKANER
TAMIL NADU,ARIYALUR,KARUR,KARUR
TAMIL NADU,CHENGALPATTU,NAGAPATTINAM,NAGAPATTINAM
TAMIL NADU,ERODE,VELLORE,VELLORE
TAMIL NADU,KALLAKURICHI,KANYAKUMARI,KANYAKUMARI
TAMIL NADU,KANCHIPURAM,RAMANATHAPURAM,RAMANATHAPURAM
TAMIL NADU,KANNIYAKUMARI,KANYAKUMARI,KANYAKUMARI
TAMIL NADU,KRISHNAGIRI,NILGIRIS,NILGIRIS
TAMIL NADU,MAYILADUTHURAI,MADURAI,MADURAI
TAMIL NADU,NAMAKKAL,PERAMBALUR,PERAMBALUR
TAMIL NADU,PUDUKKOTTAI,MADURAI,MADURAI
TAMIL NADU,RANIPET,MADURAI,MADURAI
TAMIL NADU,SIVAGANGA,VIRUDHUNAGAR,VIRUDHUNAGAR
TAMIL NADU,THE NILGIRIS,NILGIRIS,NILGIRIS
TAMIL NADU,THENI,CHENNAI,CHENNAI
TAMIL NADU,THENKASI,CHENNAI,CHENNAI
TAMIL NADU,THIRUVALLUR,TIRUVALLUR,TIRUVALLUR
TAMIL NADU,THIRUVARUR,TIRUVALLUR,TIRUVALLUR
TAMIL NADU,TIRUCHIRAPPALLI,TIRUCHIRAPALLI,TIRUCHIRAPALLI
TAMIL NADU,TIRUPATHUR,TIRUPATTUR,TIRUPATTUR
TAMIL NADU,TIRUPPUR,TIRUPATTUR,TIRUPATTUR
TAMIL NADU,TIRUVANNAMALAI,TIRUVALLUR,TIRUVALLUR
TAMIL NADU,VILLUPURAM,TIRUVALLUR,TIRUVALLUR
TELANGANA,KARIMNAGAR,MAHBOOB NAGAR,MAHBOOB NAGAR
TELANGANA,MAHBUBNAGAR,MAHBOOB NAGAR,MAHBOOB NAGAR
TELANGANA,RANGAREDDI,WARANGAL URBAN,WARANGAL URBAN
TELANGANA,WARANGAL,WARANGAL URBAN,WARANGAL URBAN
TRIPURA,DHALAI,NORTH TRIPURA,NORTH TRIPURA
TRIPURA,GOMATI,NORTH TRIPURA,NORTH TRIPURA
TRIPURA,KHOWAI,WEST TRIPURA,WEST TRIPURA
TRIPURA,SEPAHIJALA,WEST TRIPURA,WEST TRIPURA
TRIPURA,SOUTH TRIPURA,NORTH TRIPURA,NORTH TRIPURA
TRIPURA,UNAKOTI,NORTH TRIPURA,NORTH TRIPURA
UTTARAKHAND,ALMORA,HARIDWAR,HARIDWAR
UTTARAKHAND,BAGESHWAR,HARIDWAR,HARIDWAR
UTTARAKHAND,CHAMOLI,HARIDWAR,HARIDWAR
UTTARAKHAND,CHAMPAWAT,HARIDWAR,HARIDWAR
UTTARAKHAND,DEHRADUN,DEHRA DUN,DEHRA DUN
UTTARAKHAND,PAURI GARHWAL,NAINITAL,NAINITAL
UTTARAKHAND,PITHORAGARH,UDHAM SINGH NAGAR,UDHAM SINGH NAGAR
UTTARAKHAND,RUDRA PRAYAG,UDHAM SINGH NAGAR,UDHAM SINGH NAGAR
UTTARAKHAND,TEHRI GARHWAL,TEHRI NEW,TEHRI NEW
UTTARAKHAND,UDAM SINGH NAGAR,UDHAM SINGH NAGAR,UDHAM SINGH NAGAR
UTTARAKHAND,UTTAR KASHI,HARIDWAR,HARIDWAR
WEST BENGAL,24 PARAGANAS NORTH,SOUTH 24 PARGANAS,SOUTH 24 PARGANAS
WEST BENGAL,24 PARAGANAS SOUTH,SOUTH 24 PARGANAS,SOUTH 24 PARGANAS
WEST BENGAL,ALIPURDUAR,PURULIA,PURULIA
WEST BENGAL,COOCHBEHAR,COOCH BEHAR,COOCH BEHAR
WEST BENGAL,DINAJPUR DAKSHIN,SOUTH DINAJPUR,SOUTH DINAJPUR
WEST BENGAL,DINAJPUR UTTAR,SOUTH DINAJPUR,SOUTH DINAJPUR
WEST BENGAL,HOOGHLY,HOOGLY,HOOGLY
WEST BENGAL,JHARGRAM,HOWRAH,HOWRAH
WEST BENGAL,MEDINIPUR EAST,PASCHIM MEDNAPUR,PASCHIM MEDNAPUR
WEST BENGAL,MEDINIPUR WEST,PASCHIM MEDNAPUR,PASCHIM MEDNAPUR
